ESTABILIZAÇÃO DE PACIENTE POR MEIO DE CONTENÇÃO FÍSICA E/OU MECÂNICA,,,Seg. Odontológica,Seg. Ambulatorial,,,,,,"CONSULTAS, VISITAS HOSPITALARES OU
ACOMPANHAMENTO DE PACIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS
CONSULTA DE ACONSELHAMENTO PARA PLANEJAMENTO FAMILIAR,,,Seg. Odontológica,Seg. Ambulatorial,,,REF,,,"CONSULTAS, VISITAS HOSPITALARES OU
ACOMPANHAMENTO DE PACIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS
CONSULTA COM ENFERMEIRO OBSTETRA OU OBSTETRIZ (COM DIRETRIZ DE UTILIZAÇÃO),,,Seg. Odontológica,Seg. Ambulatorial,HCO,,REF,,135,"CONSULTAS, VISITAS HOSPITALARES OU
ACOMPANHAMENTO DE PACIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS
CONSULTA/AVALIAÇÃO COM FISIOTERAPEUTA,541/2022,01/08/2022,Seg. Odontológica,Seg. Ambulatorial,,,REF,,,"CONSULTAS, VISITAS HOSPITALARES OU
ACOMPANHAMENTO DE PACIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS
CONSULTA MÉDICA,,,Seg. Odontológica,Seg. Ambulatorial,,,REF,,,"CONSULTAS, VISITAS HOSPITALARES OU
ACOMPANHAMENTO DE PACIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS
CONSULTA ODONTOLÓGICA,,,Seg. Odontológica,Seg. Ambulatorial,,,,,,"CONSULTAS, VISITAS HOSPITALARES OU
ACOMPANHAMENTO DE PACIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS
CONSULTA ODONTOLÓGICA INICIAL,,,Seg. Odontológica,Seg. Ambulatorial,,,,,,"CONSULTAS, VISITAS HOSPITALARES OU
ACOMPANHAMENTO DE PACIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS
CONSULTA ODONTOLÓGICA DE URGÊNCIA,,,Seg. Odontológica,Seg. Ambulatorial,,,,,,"CONSULTAS, VISITAS HOSPITALARES OU
ACOMPANHAMENTO DE PACIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS
CONSULTA ODONTOLÓGICA PARA AVALIAÇÃO TÉCNICA DE AUDITORIA,,,Seg. Odontológica,Seg. Ambulatorial,,,,,,"CONSULTAS, VISITAS HOSPITALARES OU
ACOMPANHAMENTO DE PACIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS
CONSULTA/AVALIAÇÃO COM PSICÓLOGO,541/2022,01/08/2022,Seg. Odontológica,Seg. Ambulatorial,,,REF,,,"CONSULTAS, VISITAS HOSPITALARES OU
ACOMPANHAMENTO DE PACIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS
PROCEDIMENTO,"RN
(alteração)",VIGÊNCIA,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO,CAPÍTULO
SESSÃO COM PSICÓLOGO,541/2022,01/08/2022,Seg. Odontológica,Seg. Ambulatorial,,,REF,,,"CONSULTAS, VISITAS HOSPITALARES OU
ACOMPANHAMENTO DE PACIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS
CONSULTA/AVALIAÇÃO COM FONOAUDIÓLOGO,541/2022,01/08/2022,Seg. Odontológica,Seg. Ambulatorial,,,REF,,,"CONSULTAS, VISITAS HOSPITALARES OU
ACOMPANHAMENTO DE PACIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS
SESSÃO COM FONOAUDIÓLOGO,541/2022,01/08/2022,Seg. Odontológica,Seg. Ambulatorial,,,REF,,,"CONSULTAS, VISITAS HOSPITALARES OU
ACOMPANHAMENTO DE PACIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS
CONSULTA COM NUTRICIONISTA (COM DIRETRIZ DE UTILIZAÇÃO),,,Seg. Odontológica,Seg. Ambulatorial,,,REF,,103,"CONSULTAS, VISITAS HOSPITALARES OU
ACOMPANHAMENTO DE PACIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS
CONSULTA/AVALIAÇÃO COM TERAPEUTA OCUPACIONAL,541/2022,01/08/2022,Seg. Odontológica,Seg. Ambulatorial,,,REF,,,"CONSULTAS, VISITAS HOSPITALARES OU
ACOMPANHAMENTO DE PACIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS
SESSÃO COM TERAPEUTA OCUPACIONAL,541/2022,01/08/2022,Seg. Odontológica,Seg. Ambulatorial,,,REF,,,"CONSULTAS, VISITAS HOSPITALARES OU
ACOMPANHAMENTO DE PACIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS
"TRANSPORTE EXTRA-HOSPITALAR DE PACIENTES GRAVES COM ACOMPANHAMENTO MÉDICO, DO
ESTABELECIMENTO HOSPITALAR DE ORIGEM PARA OUTRO ESTABELECIMENTO DE SAÚDE",,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,"CONSULTAS, VISITAS HOSPITALARES OU
ACOMPANHAMENTO DE PACIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS
VISITA HOSPITALAR,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,"CONSULTAS, VISITAS HOSPITALARES OU
ACOMPANHAMENTO DE PACIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS
ACOMPANHAMENTO CLÍNICO AMBULATORIAL PÓS-TRANSPLANTE DE CÓRNEA,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,AVALIAÇÕES/ACOMPANHAMENTOS,"PROCEDIMENTOS CLÍNICOS
AMBULATORIAIS E HOSPITALARES","PROCEDIMENTOS CLÍNICOS
AMBULATORIAIS E HOSPITALARES"
ACOMPANHAMENTO CLÍNICO AMBULATORIAL PÓS-TRANSPLANTE DE MEDULA ÓSSEA,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,AVALIAÇÕES/ACOMPANHAMENTOS,"PROCEDIMENTOS CLÍNICOS
AMBULATORIAIS E HOSPITALARES","PROCEDIMENTOS CLÍNICOS
AMBULATORIAIS E HOSPITALARES"
ACOMPANHAMENTO CLÍNICO AMBULATORIAL PÓS-TRANSPLANTE HEPÁTICO,546/2022,03/10/2022,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,AVALIAÇÕES/ACOMPANHAMENTOS,"PROCEDIMENTOS CLÍNICOS
AMBULATORIAIS E HOSPITALARES","PROCEDIMENTOS CLÍNICOS
AMBULATORIAIS E HOSPITALARES"
ACOMPANHAMENTO CLÍNICO AMBULATORIAL PÓS-TRANSPLANTE RENAL,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,AVALIAÇÕES/ACOMPANHAMENTOS,"PROCEDIMENTOS CLÍNICOS
AMBULATORIAIS E HOSPITALARES","PROCEDIMENTOS CLÍNICOS
AMBULATORIAIS E HOSPITALARES"
"ACOMPANHAMENTO CLÍNICO DE TRANSPLANTE HEPÁTICO NO PERÍODO DE INTERNAÇÃO DO RECEPTOR
E DO DOADOR",546/2022,03/10/2022,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,PAC,,AVALIAÇÕES/ACOMPANHAMENTOS,"PROCEDIMENTOS CLÍNICOS
AMBULATORIAIS E HOSPITALARES","PROCEDIMENTOS CLÍNICOS
AMBULATORIAIS E HOSPITALARES"
"ACOMPANHAMENTO CLÍNICO DE TRANSPLANTE RENAL NO PERÍODO DE INTERNAÇÃO DO RECEPTOR E
DO DOADOR",,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,PAC,,AVALIAÇÕES/ACOMPANHAMENTOS,"PROCEDIMENTOS CLÍNICOS
AMBULATORIAIS E HOSPITALARES","PROCEDIMENTOS CLÍNICOS
AMBULATORIAIS E HOSPITALARES"
AVALIAÇÃO CLÍNICA DIARIA ENTERAL E/OU PARENTERAL,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,AVALIAÇÕES/ACOMPANHAMENTOS,"PROCEDIMENTOS CLÍNICOS
AMBULATORIAIS E HOSPITALARES","PROCEDIMENTOS CLÍNICOS
AMBULATORIAIS E HOSPITALARES"
"AVALIAÇÃO CLÍNICA E ELETRÔNICA DE PACIENTE PORTADOR DE DISPOSITIVO CARDÍACO ELETRÔNICO
IMPLANTÁVEL (MARCA-PASSO, ESTIMULADOR MULTISSÍTIO/RESSINCRONIZADOR, DESFIBRILADOR OU
MONITOR DE EVENTOS)",,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,AVALIAÇÕES/ACOMPANHAMENTOS,"PROCEDIMENTOS CLÍNICOS
AMBULATORIAIS E HOSPITALARES","PROCEDIMENTOS CLÍNICOS
AMBULATORIAIS E HOSPITALARES"
CARDIOVERSÃO ELÉTRICA COM ELETROCARDIOGRAMA,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,AVALIAÇÕES/ACOMPANHAMENTOS,"PROCEDIMENTOS CLÍNICOS
AMBULATORIAIS E HOSPITALARES","PROCEDIMENTOS CLÍNICOS
AMBULATORIAIS E HOSPITALARES"
CONTROLE DE BIOFILME DENTAL (PLACA BACTERIANA),,,Seg. Odontológica,Seg. Ambulatorial,,,,,,AVALIAÇÕES/ACOMPANHAMENTOS,"PROCEDIMENTOS CLÍNICOS
AMBULATORIAIS E HOSPITALARES","PROCEDIMENTOS CLÍNICOS
AMBULATORIAIS E HOSPITALARES"
"FORNECIMENTO DE EQUIPAMENTOS COLETORES  E ADJUVANTES PARA COLOSTOMIA, ILEOSTOMIA E
UROSTOMIA, SONDA VESICAL DE DEMORA E COLETOR DE URINA (COM PROTOCOLO DE UTILIZAÇÃO -
PROUT)",,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,AVALIAÇÕES/ACOMPANHAMENTOS,"PROCEDIMENTOS CLÍNICOS
AMBULATORIAIS E HOSPITALARES","PROCEDIMENTOS CLÍNICOS
AMBULATORIAIS E HOSPITALARES"
PROCEDIMENTO,"RN
(alteração)",VIGÊNCIA,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO,CAPÍTULO
PROFILAXIA: POLIMENTO CORONÁRIO,,,Seg. Odontológica,Seg. Ambulatorial,,,,,,AVALIAÇÕES/ACOMPANHAMENTOS,"PROCEDIMENTOS CLÍNICOS
AMBULATORIAIS E HOSPITALARES","PROCEDIMENTOS CLÍNICOS
AMBULATORIAIS E HOSPITALARES"
TERAPIA ANTINEOPLÁSICA ORAL PARA TRATAMENTO DO CÂNCER (COM DIRETRIZ DE UTILIZAÇÃO),,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,PAC,64,AVALIAÇÕES/ACOMPANHAMENTOS,"PROCEDIMENTOS CLÍNICOS
AMBULATORIAIS E HOSPITALARES","PROCEDIMENTOS CLÍNICOS
AMBULATORIAIS E HOSPITALARES"
TESTE DE PROVOCAÇÃO ORAL COM ALIMENTOS (COM DIRETRIZ DE UTILIZAÇÃO),536/2022,06/05/2022,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,152,AVALIAÇÕES/ACOMPANHAMENTOS,"PROCEDIMENTOS CLÍNICOS
AMBULATORIAIS E HOSPITALARES","PROCEDIMENTOS CLÍNICOS
AMBULATORIAIS E HOSPITALARES"
"MEDICAMENTOS PARA O CONTROLE DE EFEITOS ADVERSOS E ADJUVANTES RELACIONADOS A
TRATAMENTOS ANTINEOPLÁSICOS (COM DIRETRIZ DE UTILIZAÇÃO)",,,Seg. Odontológica,Seg. Ambulatorial,,,REF,PAC,54,AVALIAÇÕES/ACOMPANHAMENTOS,"PROCEDIMENTOS CLÍNICOS
AMBULATORIAIS E HOSPITALARES","PROCEDIMENTOS CLÍNICOS
AMBULATORIAIS E HOSPITALARES"
CARDIOTOCOGRAFIA,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,MONITORIZAÇÕES,"PROCEDIMENTOS CLÍNICOS
AMBULATORIAIS E HOSPITALARES","PROCEDIMENTOS CLÍNICOS
AMBULATORIAIS E HOSPITALARES"
HOLTER DE 24 HORAS - 2 OU MAIS CANAIS - ANALÓGICO OU DIGITAL,,,Seg. Odontológica,Seg. Ambulatorial,,,REF,,,MONITORIZAÇÕES,"PROCEDIMENTOS CLÍNICOS
AMBULATORIAIS E HOSPITALARES","PROCEDIMENTOS CLÍNICOS
AMBULATORIAIS E HOSPITALARES"
"MONITORIZAÇÃO AMBULATORIAL DA PRESSÃO ARTERIAL - MAPA (24 HORAS) - COM DIRETRIZ DE
UTILIZAÇÃO",,,Seg. Odontológica,Seg. Ambulatorial,,,REF,,56,MONITORIZAÇÕES,"PROCEDIMENTOS CLÍNICOS
AMBULATORIAIS E HOSPITALARES","PROCEDIMENTOS CLÍNICOS
AMBULATORIAIS E HOSPITALARES"
MONITORIZAÇÃO DA PRESSÃO INTRACRANIANA,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,MONITORIZAÇÕES,"PROCEDIMENTOS CLÍNICOS
AMBULATORIAIS E HOSPITALARES","PROCEDIMENTOS CLÍNICOS
AMBULATORIAIS E HOSPITALARES"
MONITORIZAÇÃO HEMODINÂMICA INVASIVA OU NÃO INVASIVA,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,MONITORIZAÇÕES,"PROCEDIMENTOS CLÍNICOS
AMBULATORIAIS E HOSPITALARES","PROCEDIMENTOS CLÍNICOS
AMBULATORIAIS E HOSPITALARES"
MONITORIZAÇÃO NEUROFISIOLÓGICA INTRA-OPERATÓRIA,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,MONITORIZAÇÕES,"PROCEDIMENTOS CLÍNICOS
AMBULATORIAIS E HOSPITALARES","PROCEDIMENTOS CLÍNICOS
AMBULATORIAIS E HOSPITALARES"
POTENCIAL EVOCADO INTRA-OPERATÓRIO - MONITORIZAÇÃO CIRÚRGICA (PE/IO),,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,MONITORIZAÇÕES,"PROCEDIMENTOS CLÍNICOS
AMBULATORIAIS E HOSPITALARES","PROCEDIMENTOS CLÍNICOS
AMBULATORIAIS E HOSPITALARES"
TESTE DE INCLINAÇÃO ORTOSTÁTICA (TILT TEST) - COM DIRETRIZ DE UTILIZAÇÃO,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,PAC,67,MONITORIZAÇÕES,"PROCEDIMENTOS CLÍNICOS
AMBULATORIAIS E HOSPITALARES","PROCEDIMENTOS CLÍNICOS
AMBULATORIAIS E HOSPITALARES"
ADAPTAÇÃO E TREINAMENTO DE RECURSOS ÓPTICOS,,,Seg. Odontológica,Seg. Ambulatorial,,,REF,,,REABILITAÇÃO,"PROCEDIMENTOS CLÍNICOS
AMBULATORIAIS E HOSPITALARES","PROCEDIMENTOS CLÍNICOS
AMBULATORIAIS E HOSPITALARES"
AMPUTAÇÃO (PREPARAÇÃO DO COTO E TREINAMENTO PROTÉTICO),,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,REABILITAÇÃO,"PROCEDIMENTOS CLÍNICOS
AMBULATORIAIS E HOSPITALARES","PROCEDIMENTOS CLÍNICOS
AMBULATORIAIS E HOSPITALARES"
BIOFEEDBACK COM EMG,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,REABILITAÇÃO,"PROCEDIMENTOS CLÍNICOS
AMBULATORIAIS E HOSPITALARES","PROCEDIMENTOS CLÍNICOS
AMBULATORIAIS E HOSPITALARES"
EXERCÍCIOS DE ORTÓPTICA,,,Seg. Odontológica,Seg. Ambulatorial,,,REF,,,REABILITAÇÃO,"PROCEDIMENTOS CLÍNICOS
AMBULATORIAIS E HOSPITALARES","PROCEDIMENTOS CLÍNICOS
AMBULATORIAIS E HOSPITALARES"
INFILTRAÇÃO DE PONTO GATILHO OU AGULHAMENTO SECO,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,REABILITAÇÃO,"PROCEDIMENTOS CLÍNICOS
AMBULATORIAIS E HOSPITALARES","PROCEDIMENTOS CLÍNICOS
AMBULATORIAIS E HOSPITALARES"
REABILITACAO E REEDUCACAO DE SEQÜELAS EM TRAUMATISMOS E POLITRAUMATIZADOS,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,REABILITAÇÃO,"PROCEDIMENTOS CLÍNICOS
AMBULATORIAIS E HOSPITALARES","PROCEDIMENTOS CLÍNICOS
AMBULATORIAIS E HOSPITALARES"
REABILITAÇÃO LABIRÍNTICA,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,REABILITAÇÃO,"PROCEDIMENTOS CLÍNICOS
AMBULATORIAIS E HOSPITALARES","PROCEDIMENTOS CLÍNICOS
AMBULATORIAIS E HOSPITALARES"
PROCEDIMENTO,"RN
(alteração)",VIGÊNCIA,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO,CAPÍTULO
REABILITAÇÃO PERINEAL/VESICO-URETRAL COM OU SEM BIOFEEDBACK,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,REABILITAÇÃO,"PROCEDIMENTOS CLÍNICOS
AMBULATORIAIS E HOSPITALARES","PROCEDIMENTOS CLÍNICOS
AMBULATORIAIS E HOSPITALARES"
REEDUACAÇÃO E REABILITAÇÃO DE QUEIMADOS PARA PREVENÇÃO DE SEQUELAS,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,REABILITAÇÃO,"PROCEDIMENTOS CLÍNICOS
AMBULATORIAIS E HOSPITALARES","PROCEDIMENTOS CLÍNICOS
AMBULATORIAIS E HOSPITALARES"
REEDUCAÇÃO E REABILITAÇÃO CARDIOVASCULAR,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,REABILITAÇÃO,"PROCEDIMENTOS CLÍNICOS
AMBULATORIAIS E HOSPITALARES","PROCEDIMENTOS CLÍNICOS
AMBULATORIAIS E HOSPITALARES"
REEDUCAÇÃO E REABILITAÇÃO DO SISTEMA LINFÁTICO E/OU VASCULAR PERIFÉRICO,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,REABILITAÇÃO,"PROCEDIMENTOS CLÍNICOS
AMBULATORIAIS E HOSPITALARES","PROCEDIMENTOS CLÍNICOS
AMBULATORIAIS E HOSPITALARES"
"REEDUCAÇÃO E REABILITAÇÃO DO SISTEMA MÚSCULO-ESQUELÉTICO POR DISTÚRBIOS CONGÊNITOS OU
REUMÁTICOS",,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,REABILITAÇÃO,"PROCEDIMENTOS CLÍNICOS
AMBULATORIAIS E HOSPITALARES","PROCEDIMENTOS CLÍNICOS
AMBULATORIAIS E HOSPITALARES"
REEDUCAÇÃO E REABILITAÇÃO NEUROLÓGICA,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,REABILITAÇÃO,"PROCEDIMENTOS CLÍNICOS
AMBULATORIAIS E HOSPITALARES","PROCEDIMENTOS CLÍNICOS
AMBULATORIAIS E HOSPITALARES"
REEDUCAÇÃO E REABILITAÇÃO NEURO-MÚSCULO-ESQUELÉTICA,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,REABILITAÇÃO,"PROCEDIMENTOS CLÍNICOS
AMBULATORIAIS E HOSPITALARES","PROCEDIMENTOS CLÍNICOS
AMBULATORIAIS E HOSPITALARES"
REEDUCAÇÃO E REABILITAÇÃO NO RETARDO DO DESENVOLVIMENTO PSICOMOTOR,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,REABILITAÇÃO,"PROCEDIMENTOS CLÍNICOS
AMBULATORIAIS E HOSPITALARES","PROCEDIMENTOS CLÍNICOS
AMBULATORIAIS E HOSPITALARES"
REEDUCAÇÃO E REABILITAÇÃO RESPIRATÓRIA,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,REABILITAÇÃO,"PROCEDIMENTOS CLÍNICOS
AMBULATORIAIS E HOSPITALARES","PROCEDIMENTOS CLÍNICOS
AMBULATORIAIS E HOSPITALARES"
"REEDUCAÇÃO E REABILITAÇÃO TRAUMATO-ORTOPÉDICA (EXCLUI TÉCNICAS CINESIOTERÁPICAS
ESPECÍFICAS)",,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,REABILITAÇÃO,"PROCEDIMENTOS CLÍNICOS
AMBULATORIAIS E HOSPITALARES","PROCEDIMENTOS CLÍNICOS
AMBULATORIAIS E HOSPITALARES"
REEDUCAÇÃO E/OU REABILITAÇÃO DE DISTÚRBIOS CRÂNIO-FACIAIS,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,REABILITAÇÃO,"PROCEDIMENTOS CLÍNICOS
AMBULATORIAIS E HOSPITALARES","PROCEDIMENTOS CLÍNICOS
AMBULATORIAIS E HOSPITALARES"
REEDUCAÇÃO E/OU REABILITAÇÃO NOS PROCESSOS INFLAMATÓRIOS PÉLVICOS,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,REABILITAÇÃO,"PROCEDIMENTOS CLÍNICOS
AMBULATORIAIS E HOSPITALARES","PROCEDIMENTOS CLÍNICOS
AMBULATORIAIS E HOSPITALARES"
ACTINOTERAPIA,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,TERAPÊUTICA,"PROCEDIMENTOS CLÍNICOS
AMBULATORIAIS E HOSPITALARES","PROCEDIMENTOS CLÍNICOS
AMBULATORIAIS E HOSPITALARES"
APLICAÇÃO DE CARIOSTÁTICO (COM DIRETRIZ DE UTILIZAÇÃO),,,Seg. Odontológica,Seg. Ambulatorial,,,,,79,TERAPÊUTICA,"PROCEDIMENTOS CLÍNICOS
AMBULATORIAIS E HOSPITALARES","PROCEDIMENTOS CLÍNICOS
AMBULATORIAIS E HOSPITALARES"
APLICAÇÃO DE HIPOSSENSIBILIZANTE,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,TERAPÊUTICA,"PROCEDIMENTOS CLÍNICOS
AMBULATORIAIS E HOSPITALARES","PROCEDIMENTOS CLÍNICOS
AMBULATORIAIS E HOSPITALARES"
APLICAÇÃO DE SELANTE (COM DIRETRIZ DE UTILIZAÇÃO),,,Seg. Odontológica,Seg. Ambulatorial,,,,,80,TERAPÊUTICA,"PROCEDIMENTOS CLÍNICOS
AMBULATORIAIS E HOSPITALARES","PROCEDIMENTOS CLÍNICOS
AMBULATORIAIS E HOSPITALARES"
APLICAÇÃO TÓPICA DE FLÚOR,,,Seg. Odontológica,Seg. Ambulatorial,,,,,,TERAPÊUTICA,"PROCEDIMENTOS CLÍNICOS
AMBULATORIAIS E HOSPITALARES","PROCEDIMENTOS CLÍNICOS
AMBULATORIAIS E HOSPITALARES"
APLICAÇÃO TÓPICA DE VERNIZ FLUORETADO,,,Seg. Odontológica,Seg. Ambulatorial,,,,,,TERAPÊUTICA,"PROCEDIMENTOS CLÍNICOS
AMBULATORIAIS E HOSPITALARES","PROCEDIMENTOS CLÍNICOS
AMBULATORIAIS E HOSPITALARES"
BETATERAPIA,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,PAC,,TERAPÊUTICA,"PROCEDIMENTOS CLÍNICOS
AMBULATORIAIS E HOSPITALARES","PROCEDIMENTOS CLÍNICOS
AMBULATORIAIS E HOSPITALARES"
PROCEDIMENTO,"RN
(alteração)",VIGÊNCIA,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO,CAPÍTULO
CARDIOVERSÃO QUÍMICA DE ARRITMIA PAROXÍSTA,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,TERAPÊUTICA,"PROCEDIMENTOS CLÍNICOS
AMBULATORIAIS E HOSPITALARES","PROCEDIMENTOS CLÍNICOS
AMBULATORIAIS E HOSPITALARES"
CATETERISMO VESICAL,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,TERAPÊUTICA,"PROCEDIMENTOS CLÍNICOS
AMBULATORIAIS E HOSPITALARES","PROCEDIMENTOS CLÍNICOS
AMBULATORIAIS E HOSPITALARES"
